,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
2,111036,5 Star Luxury @ Tweed Coast - Salt Village,569563,Tricia,2011-05-09,within an hour,100%,96%,t,1,t,TWEED SHIRE COUNCIL,,-28.27593,153.57632,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$180.00,2,50,1,2,1125,1125,2.0,1125.0,t,4,24,30,220,247,26,2,4.89,4.97,4.94,4.84,4.92,4.97,4.88,t,1,1,0
3,113407,Byron Bay Hinterland House & Pool POCKET PINES,576938,Jo,2011-05-10,within an hour,100%,95%,t,1,t,BYRON SHIRE COUNCIL,,-28.51435,153.4927,Entire home,Entire home/apt,4,1.0,1 bath,2.0,2.0,$433.00,3,1125,1,4,1125,1125,3.0,1125.0,t,11,24,54,140,52,13,2,4.92,4.88,4.75,4.96,4.98,4.88,4.71,f,1,1,0
4,259951,Rosebank Farmhouse,1340489,Ann-Marie,2011-10-27,within an hour,100%,100%,f,1,t,LISMORE CITY COUNCIL,,-28.68751,153.38965,Farm stay,Entire home/apt,8,2.0,2 baths,4.0,7.0,$650.00,5,60,5,5,1125,1125,5.0,1125.0,t,14,44,74,339,17,1,0,5.0,4.88,4.76,5.0,5.0,4.94,4.71,f,1,1,0
120,2572661,"Centrally located, beautiful 4 br Bangalow Home",10649721,Jo,2013-12-16,,,,f,1,t,BYRON SHIRE COUNCIL,,-28.68633,153.52822,Entire home,Entire home/apt,7,2.0,2 baths,4.0,4.0,"$1,650.00",90,1125,90,90,1125,1125,90.0,1125.0,t,30,60,90,365,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0
247,4968997,Spacious Unit 6215 Peppers Resort Kingscliff NSW,10905038,Tricia,2013-12-30,within a few hours,100%,95%,t,1,t,TWEED SHIRE COUNCIL,,-28.27622,153.57705,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$139.00,2,10,2,2,10,10,2.0,10.0,t,2,15,40,198,468,73,4,4.85,4.88,4.83,4.87,4.9,4.96,4.91,f,1,1,0
248,4987897,1 Bedroom Coastal Granny Flat,13653851,Jo,2014-03-29,within an hour,100%,100%,f,2,t,TWEED SHIRE COUNCIL,,-28.294546,153.56958,Entire home,Entire home/apt,4,1.0,1 bath,2.0,2.0,$172.00,2,40,2,2,1125,1125,2.0,1125.0,t,0,8,33,43,344,23,0,4.96,4.98,4.96,4.95,4.98,4.92,4.9,t,2,2,0
576,15663281,"Hidden Valley Guesthouse, Byron Bay.",22472726,Naomi,2014-10-13,within an hour,100%,100%,t,1,t,BYRON SHIRE COUNCIL,,-28.69046,153.58613,Entire guesthouse,Entire home/apt,2,2.0,2 baths,1.0,1.0,$457.00,2,1125,2,7,1125,1125,2.2,1125.0,t,6,19,45,316,317,48,3,4.99,4.99,4.99,4.99,5.0,4.98,4.91,t,1,1,0
922,22639783,Unique space in Mullumbimby — Clays End has it all,22822723,Jo,2014-10-21,within an hour,100%,100%,t,1,t,BYRON SHIRE COUNCIL,,-28.54799,153.46941,Entire home,Entire home/apt,4,1.0,1 bath,2.0,2.0,$286.00,2,1125,2,3,1125,1125,2.0,1125.0,t,9,10,20,87,198,37,1,4.98,4.97,4.94,4.99,4.99,4.95,4.89,f,1,1,0
931,22818168,The White House with Granny Flat-500m to the beach,13653851,Jo,2014-03-29,within an hour,100%,100%,f,2,t,TWEED SHIRE COUNCIL,,-28.294546,153.56958,Entire home,Entire home/apt,8,3.0,3 baths,4.0,6.0,$632.00,3,20,3,7,1125,1125,3.2,1125.0,t,5,12,12,12,7,0,0,5.0,5.0,5.0,5.0,5.0,4.86,4.43,t,2,2,0
1146,27065432,Tallaringa Private Luxury Glamping,27251438,Jo,2015-02-05,within an hour,100%,91%,t,2,t,TWEED SHIRE COUNCIL,,-28.31632,153.447,Dome,Entire home/apt,3,1.0,1 bath,1.0,3.0,$437.00,1,999,1,1,999,999,1.0,999.0,t,4,31,48,288,263,21,2,4.98,4.97,4.93,4.99,5.0,4.98,4.91,t,2,2,0
