,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
36,820367,The Shalimar Roundhouse,4308959,Adam,2012-12-03,within a day,80%,91%,f,2,t,BYRON SHIRE COUNCIL,,-28.56833,153.42033,Farm stay,Entire home/apt,6,1.0,1 bath,1.0,3.0,$249.00,2,28,2,2,28,28,2.0,28.0,t,15,45,75,75,179,31,2,4.78,4.79,4.56,4.93,4.95,4.88,4.67,f,2,2,0
39,857366,Breeze Byron Bay Holiday Accommodation,4484372,Raeleen,2012-12-25,within a day,100%,79%,f,5,t,BYRON SHIRE COUNCIL,,-28.66379,153.6114,Private room in home,Private room,2,2.0,2 shared baths,1.0,1.0,$59.00,3,1125,3,3,1125,1125,3.0,1125.0,t,11,11,11,11,202,6,0,4.58,4.64,4.5,4.76,4.75,4.45,4.53,f,5,1,4
45,918903,ByronView Central Elevated Home 4 Brms,6850653,Nerida,2013-06-11,within a day,100%,67%,f,1,t,BYRON SHIRE COUNCIL,,-28.6537,153.61669,Entire home,Entire home/apt,8,3.0,3 baths,4.0,10.0,$729.00,3,30,3,3,30,30,3.0,30.0,t,2,7,7,214,63,3,0,4.9,4.9,4.89,4.98,4.98,4.68,4.73,f,1,1,0
64,1572310,Altitude 261,8359108,Rod,2013-08-24,within a day,100%,100%,t,1,t,BYRON SHIRE COUNCIL,,-28.52087,153.41918,Entire vacation home,Entire home/apt,14,7.5,7.5 baths,7.0,7.0,"$2,013.00",3,1125,3,4,3,1125,3.0,815.3,t,3,27,52,312,70,7,0,4.91,4.97,4.91,4.93,4.96,4.86,4.84,t,1,1,0
80,1990315,"BYRON BEACH HOUSE STUDIO 50m beach, shops",10264043,Rob,2013-11-25,within a day,90%,59%,f,2,t,BYRON SHIRE COUNCIL,,-28.64099,153.61196,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,$248.00,2,14,2,4,14,14,2.0,14.0,t,0,20,50,82,255,19,0,4.67,4.8,4.51,4.86,4.88,4.95,4.66,f,2,2,0
81,2083377,"Spacious, Relaxed & Private - Byron Bay Hinterland",10641732,Victoria,2013-12-15,within a day,90%,83%,t,1,t,BYRON SHIRE COUNCIL,,-28.57358,153.53194,Entire guesthouse,Entire home/apt,15,4.5,4.5 baths,4.0,15.0,$720.00,2,1125,2,2,1125,1125,2.0,1125.0,t,12,35,54,315,108,18,2,4.82,4.85,4.76,4.95,4.91,4.94,4.67,f,1,1,0
82,2102602,"BYRON BEACH HOUSE Baylane Studio 50m beach, shops",10264043,Rob,2013-11-25,within a day,90%,59%,f,2,t,BYRON SHIRE COUNCIL,,-28.64224,153.61217,Entire guest suite,Entire home/apt,4,1.0,1 bath,0.0,2.0,$248.00,2,14,2,4,14,14,2.0,14.0,t,0,20,50,81,297,5,0,4.67,4.78,4.53,4.84,4.89,4.91,4.62,f,2,2,0
84,2113053,Ocean River Paradise,10773532,Andrea,2013-12-23,within a day,100%,67%,f,1,t,TWEED SHIRE COUNCIL,,-28.20321,153.5655,Entire home,Entire home/apt,9,2.0,2 baths,4.0,0.0,$307.00,5,30,5,5,30,30,5.0,30.0,t,19,49,79,354,135,1,0,4.72,4.77,4.52,4.93,4.91,4.89,4.65,f,1,1,0
85,2128698,Sanctuary Farm Stay (pet friendly),10860275,Heidi,2013-12-28,within a day,100%,,f,1,f,BYRON SHIRE COUNCIL,,-28.51026,153.51194,Entire cabin,Entire home/apt,4,1.5,1.5 baths,1.0,3.0,$150.00,90,1125,90,90,1125,1125,90.0,1125.0,t,29,59,89,364,102,0,0,4.95,4.89,4.95,5.0,5.0,4.93,4.85,t,1,1,0
103,2316063,The Beach House at South Golden,757165,Anika,2011-06-29,within a day,100%,,f,1,t,BYRON SHIRE COUNCIL,,-28.49375,153.54813,Entire home,Entire home/apt,8,2.5,2.5 baths,4.0,3.0,$500.00,90,1125,90,90,1125,1125,90.0,1125.0,t,23,53,83,358,16,0,0,5.0,5.0,4.81,5.0,5.0,4.94,4.63,f,1,1,0
