,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
1909,42863456,"Luxury Resort Studio with Pool, Footsteps to Beach",519005019,Rudi And Ish,2023-06-08,,,,f,75,t,TWEED SHIRE COUNCIL,,-28.29398,153.57212,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,$170.00,2,90,2,5,90,90,3.5,90.0,t,14,44,74,343,177,28,2,4.73,4.81,4.66,4.65,4.84,4.92,4.7,f,3,3,0
1966,43667357,Bamboo Farm Stay,595218645,Matthew,2024-08-09,,,,f,1,t,BALLINA SHIRE COUNCIL,,-28.82842,153.47133,Farm stay,Entire home/apt,9,1.0,1 bath,1.0,5.0,$139.00,2,730,1,2,1125,1125,2.0,1125.0,t,1,18,46,61,178,48,4,4.8,4.83,4.65,4.9,4.91,4.88,4.82,f,1,1,0
2306,47411168,Honeybird Hideaway  A subtropical retreat,507063121,Sean,2023-03-25,,,,f,1,t,TWEED SHIRE COUNCIL,,-28.43233,153.52892,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,$950.00,1,7,1,2,1125,1125,1.1,1125.0,t,17,31,31,104,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0
2674,52970759,Treetops: 3-Bedroom Open Plan Balcony House,507887932,Jean,2023-03-31,,,,f,5,t,TWEED SHIRE COUNCIL,,-28.18952,153.50363,Entire home,Entire home/apt,8,2.0,2 baths,3.0,5.0,$280.00,1,270,1,2,270,270,1.3,270.0,t,10,31,59,311,131,49,4,4.79,4.85,4.63,4.92,4.94,4.77,4.66,t,2,2,0
3229,659070320474014247,Palm Springs: 1-Bedroom House,507887932,Jean,2023-03-31,,,,f,5,t,TWEED SHIRE COUNCIL,,-28.19074,153.50467,Entire home,Entire home/apt,4,1.0,1 bath,1.0,2.0,$177.00,1,270,1,2,1125,1125,1.3,1125.0,t,7,20,20,261,62,49,3,4.81,4.85,4.79,4.82,4.95,4.84,4.79,t,2,2,0
3450,730680422275795513,"The Old Butcher Shop Cabin, Ebor",548030370,Elisabeth,2023-11-24,,,,f,1,t,CLARENCE VALLEY COUNCIL,,-30.32074800231738,152.41308070879117,Entire cottage,Entire home/apt,2,1.0,1 bath,1.0,2.0,$150.00,1,365,1,1,365,365,1.0,365.0,t,22,52,80,355,68,32,4,4.87,4.88,4.93,4.81,4.93,4.88,4.85,t,1,1,0
3838,797233080025352182,Luxury Hinterland Barn,494354143,David,2023-01-04,within a day,60%,21%,f,4,t,BALLINA SHIRE COUNCIL,,-28.9035645,153.4618013,Barn,Entire home/apt,16,9.0,9 baths,16.0,16.0,"$1,980.00",90,730,90,90,730,730,90.0,730.0,t,13,40,64,337,2,0,0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,f,4,1,3
3847,800797040068471691,"Pelican Rest, Riverview Spacious Apartment.",495213421,Julie,2023-01-09,within an hour,100%,100%,t,1,f,CLARENCE VALLEY COUNCIL,,-29.39225,153.34881,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,3.0,$150.00,2,21,2,2,21,21,2.0,21.0,t,7,37,67,340,24,15,2,4.92,4.92,4.92,4.88,4.83,4.83,4.83,t,1,1,0
3850,802345590136917086,Reflections Beach House - 50m to Patrolled Beach,495599959,Reflections,2023-01-11,within an hour,90%,99%,t,5,f,RICHMOND VALLEY COUNCIL,,-29.1155876,153.4317171,Entire cabin,Entire home/apt,8,2.5,2.5 baths,4.0,6.0,$574.00,2,1125,2,7,999,999,2.4,999.0,t,0,8,32,245,23,11,1,4.74,4.61,4.83,4.83,4.74,4.91,4.52,t,4,4,0
3856,804481926169161233,Casuarina by the beach,496085155,Jamie,2023-01-14,a few days or more,0%,,f,1,t,TWEED SHIRE COUNCIL,,-28.31124,153.57133,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,$180.00,90,365,90,90,365,365,90.0,365.0,t,30,60,90,365,0,0,0,,,,,,,,t,1,1,0
