,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
1,59459,Tea on the Terrace,285576,Liz,2010-11-12,within an hour,100%,93%,t,1,t,CLARENCE VALLEY COUNCIL,,-29.45952,153.20248,Private room in townhouse,Private room,2,1.0,1 shared bath,1.0,1.0,$80.00,1,6,1,1,6,6,1.0,6.0,t,11,29,59,59,343,45,3,4.92,4.93,4.94,4.94,4.94,4.8,4.92,f,1,0,1
2,111036,5 Star Luxury @ Tweed Coast - Salt Village,569563,Tricia,2011-05-09,within an hour,100%,96%,t,1,t,TWEED SHIRE COUNCIL,,-28.27593,153.57632,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$180.00,2,50,1,2,1125,1125,2.0,1125.0,t,4,24,30,220,247,26,2,4.89,4.97,4.94,4.84,4.92,4.97,4.88,t,1,1,0
3,113407,Byron Bay Hinterland House & Pool POCKET PINES,576938,Jo,2011-05-10,within an hour,100%,95%,t,1,t,BYRON SHIRE COUNCIL,,-28.51435,153.4927,Entire home,Entire home/apt,4,1.0,1 bath,2.0,2.0,$433.00,3,1125,1,4,1125,1125,3.0,1125.0,t,11,24,54,140,52,13,2,4.92,4.88,4.75,4.96,4.98,4.88,4.71,f,1,1,0
7,399928,Byron Bay Beach house,1996249,Frederique,2012-03-23,within an hour,100%,100%,t,1,t,BYRON SHIRE COUNCIL,,-28.65424,153.61888,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,$614.00,2,31,2,7,1125,1125,2.3,1125.0,t,13,16,25,88,61,10,0,4.8,4.85,4.66,4.98,5.0,4.58,4.58,f,1,1,0
9,428075,"Agave Escape -gateway to beaches, rainforest, fun!",2127754,Estelle,2012-04-12,within an hour,100%,100%,t,2,t,TWEED SHIRE COUNCIL,,-28.2191,153.47793,Entire guesthouse,Entire home/apt,3,1.0,1 bath,1.0,2.0,$135.00,2,182,2,7,1125,1125,2.1,1125.0,t,8,34,64,154,57,27,2,4.88,4.93,4.75,4.88,4.96,4.89,4.84,f,2,2,0
10,515349,A Classic Country Cabin,2538287,Justine,2012-06-03,,,100%,t,1,t,LISMORE CITY COUNCIL,,-28.78051,153.4307,Tiny home,Entire home/apt,4,1.0,1 bath,2.0,3.0,$228.00,1,90,1,1,1125,1125,1.0,1125.0,t,10,40,70,70,281,42,0,4.71,4.78,4.52,4.96,4.93,4.86,4.73,t,1,1,0
24,573878,Stone and Wood Hobbitt House views Mt Warning,2824063,Wollumbin Palms,2012-07-03,within an hour,100%,100%,t,3,t,TWEED SHIRE COUNCIL,,-28.3845708,153.32638,Earthen home,Entire home/apt,2,1.0,1 bath,1.0,1.0,$506.00,2,7,2,2,7,7,2.0,7.0,t,20,44,74,347,20,0,0,4.9,4.95,4.9,4.9,4.8,5.0,4.6,t,3,3,0
25,587766,Lilli Pilli Guest Room with ensuite,2899669,Jodie,2012-07-11,within an hour,100%,100%,t,3,t,BYRON SHIRE COUNCIL,,-28.65827,153.60944,Private room in guesthouse,Private room,2,1.0,1 private bath,2.0,1.0,$129.00,2,1125,2,4,1125,1125,2.0,1125.0,t,4,8,27,274,497,35,5,4.85,4.89,4.92,4.97,4.95,4.81,4.85,t,3,1,2
26,588008,Boatshed Byron Bay Beachside,2908350,Gyan & Si,2012-07-11,within a few hours,100%,88%,t,1,t,BYRON SHIRE COUNCIL,,-28.65502,153.62302,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,$191.00,2,1125,2,2,1125,1125,2.0,1125.0,t,2,23,51,315,194,6,0,4.85,4.83,4.75,4.96,4.97,4.86,4.64,f,1,1,0
28,610487,Samkara Byron stunning ocean and hinterland views,3026995,Justin,2012-07-23,within a few hours,100%,88%,t,2,t,BYRON SHIRE COUNCIL,,-28.65243,153.55026,Entire home,Entire home/apt,16,10.0,10 baths,9.0,12.0,"$2,643.00",3,1125,3,3,1125,1125,3.0,1125.0,t,13,40,70,330,43,4,0,4.79,4.9,4.69,4.71,4.64,4.93,4.71,f,1,1,0
29,631809,Nature Lover's Vegan Paradise,3142270,Garry,2012-08-02,within an hour,100%,100%,t,3,t,BYRON SHIRE COUNCIL,,-28.58522,153.46753,Private room in farm stay,Private room,2,0.5,Private half-bath,1.0,1.0,$98.00,1,1125,1,1,1125,1125,1.0,1125.0,t,13,18,34,302,508,60,9,4.96,4.96,4.88,4.97,4.98,4.96,4.96,t,3,2,1
31,706949,Wategos Panorama,3633438,Jean,2012-09-21,within a few hours,100%,90%,t,1,t,BYRON SHIRE COUNCIL,,-28.63875,153.63574,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,3.0,$350.00,3,1125,3,3,1125,1125,3.0,1125.0,t,6,26,49,302,260,19,1,4.8,4.78,4.68,4.91,4.93,4.92,4.68,f,1,1,0
35,819991,Hippie Vibes Best View Farm Stay,3142270,Garry,2012-08-02,within an hour,100%,100%,t,3,t,BYRON SHIRE COUNCIL,,-28.58522,153.46753,Farm stay,Entire home/apt,4,1.0,1 bath,2.0,3.0,$183.00,1,1125,1,1,1125,1125,1.0,1125.0,t,3,16,41,288,891,133,10,4.93,4.95,4.85,4.96,4.98,4.94,4.96,t,3,2,1
37,833757,'Tinkerbell Cottage' in the heart of Bangalow,4362487,Isobel,2012-12-09,within an hour,100%,96%,t,1,t,BYRON SHIRE COUNCIL,,-28.68856,153.522,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,2.0,$199.00,2,180,2,3,180,180,2.0,180.0,t,4,24,28,28,128,37,3,4.98,4.95,5.0,5.0,5.0,4.99,4.95,f,1,1,0
40,859367,A Room With A View!,2127754,Estelle,2012-04-12,within an hour,100%,100%,t,2,t,TWEED SHIRE COUNCIL,,-28.21738,153.47945,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,1.0,$111.00,1,14,1,1,1125,1125,1.0,1125.0,t,0,0,0,0,208,74,7,4.9,4.91,4.86,4.94,4.97,4.85,4.82,f,2,2,0
41,880854,Seaside City Beach House,3794750,Anna,2012-10-08,within an hour,100%,100%,t,5,t,TWEED SHIRE COUNCIL,,-28.28332,153.57324,Private room in guest suite,Private room,2,1.0,1 private bath,1.0,1.0,$113.00,1,60,1,1,1125,1125,1.0,1125.0,t,2,2,2,226,667,65,10,4.83,4.88,4.93,4.93,4.87,4.8,4.84,t,4,3,1
47,944331,White Cedar Apartment,5111964,Stuart,2013-02-16,within an hour,100%,95%,t,1,t,BYRON SHIRE COUNCIL,,-28.68456,153.51903,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,$241.00,2,60,2,2,60,60,2.0,60.0,t,7,35,63,269,266,31,3,4.88,4.89,4.95,4.98,4.96,4.86,4.83,f,1,1,0
48,999220,BiRDHOUSE Byron Bay,3495465,Ben & Joc,2012-09-06,within an hour,100%,63%,t,3,t,BYRON SHIRE COUNCIL,,-28.65562,153.62489,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,$974.00,2,90,2,3,90,90,2.7,90.0,t,19,49,79,79,4,0,0,4.5,4.25,4.25,4.75,4.5,4.75,4.25,f,3,3,0
50,1037008,Charming Rural Australian Church,4800366,Andrea,2013-01-22,within an hour,100%,98%,t,1,t,TWEED SHIRE COUNCIL,,-28.39556,153.40474,Entire home,Entire home/apt,2,1.0,1 bath,1.0,2.0,$153.00,2,14,2,2,14,14,2.0,14.0,t,6,17,47,311,194,37,0,4.85,4.92,4.72,4.9,4.86,4.89,4.86,f,1,1,0
51,1107994,Lennox head bed and breakfast.,5021072,Murray,2013-02-09,within an hour,100%,89%,t,3,t,BALLINA SHIRE COUNCIL,,-28.79524,153.59038,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,$156.00,2,60,2,2,60,60,2.0,60.0,t,11,41,67,310,169,7,1,4.85,4.85,4.86,4.89,4.91,4.92,4.82,f,3,3,0
52,1133269,Birdland Beachfront Byron Bay,3495465,Ben & Joc,2012-09-06,within an hour,100%,63%,t,3,t,BYRON SHIRE COUNCIL,,-28.65488,153.62449,Entire home,Entire home/apt,12,4.0,4 baths,6.0,6.0,"$1,316.00",3,90,3,3,90,90,3.0,90.0,t,20,50,66,66,131,3,1,4.82,4.74,4.84,4.91,4.9,4.97,4.47,f,3,3,0
54,1227385,Tree House Upstairs Studio,6694798,Jeanine,2013-06-02,within a few hours,100%,93%,t,7,t,BYRON SHIRE COUNCIL,,-28.65247,153.62057,Entire home,Entire home/apt,3,1.0,1 bath,1.0,2.0,$250.00,90,365,90,90,365,365,90.0,365.0,t,13,43,73,163,16,0,0,4.88,4.93,4.75,4.94,5.0,4.63,4.69,f,7,4,3
55,1236948,Byron Bay Tree House Lower Level,6694798,Jeanine,2013-06-02,within a few hours,100%,93%,t,7,t,BYRON SHIRE COUNCIL,,-28.65276,153.61826,Entire home,Entire home/apt,8,2.5,2.5 baths,3.0,5.0,$500.00,2,112,2,2,112,112,2.0,112.0,t,0,0,0,228,7,0,0,4.83,4.57,5.0,4.86,5.0,4.86,4.57,f,7,4,3
56,1240901,Rainforest Room,6764610,Sue,2013-06-06,within an hour,100%,100%,t,1,t,BYRON SHIRE COUNCIL,,-28.61438,153.47697,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,$199.00,2,14,2,5,14,14,2.2,14.0,t,14,35,60,311,344,34,1,4.97,4.96,4.98,4.97,4.97,4.94,4.85,f,1,1,0
58,1328605,Lilac Room in Beautiful Byron Bay,6694798,Jeanine,2013-06-02,within a few hours,100%,93%,t,7,t,BYRON SHIRE COUNCIL,,-28.65246,153.62046,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,$100.00,3,730,2,6,730,730,2.4,730.0,t,4,16,36,95,327,24,2,4.93,4.95,4.93,4.95,4.97,4.81,4.88,f,7,4,3
59,1328784,Byron TreeTop  King Room,6694798,Jeanine,2013-06-02,within a few hours,100%,93%,t,7,t,BYRON SHIRE COUNCIL,,-28.65338,153.61912,Private room in home,Private room,2,1.0,1 shared bath,1.0,2.0,$87.00,2,60,2,2,60,60,2.0,60.0,t,3,13,39,305,240,36,2,4.93,4.93,4.93,4.96,4.98,4.75,4.87,f,7,4,3
62,1416752,Byron Bay Accom - Pipis Apartment 2 - 2/2 Fletcher,7633683,Byron Bay Accom,2013-07-21,within an hour,94%,100%,t,63,t,BYRON SHIRE COUNCIL,,-28.64182,153.61401,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,3.0,$609.00,3,30,3,5,99,99,3.3,99.0,t,9,25,55,313,26,4,0,4.58,4.77,4.69,4.58,4.54,4.92,4.42,t,61,61,0
63,1451202,orignial home by the ocean & forest,5021072,Murray,2013-02-09,within an hour,100%,89%,t,3,t,BALLINA SHIRE COUNCIL,,-28.79684,153.58909,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,1.0,$137.00,2,14,2,2,14,14,2.0,14.0,t,10,35,63,335,196,19,1,4.86,4.9,4.89,4.89,4.86,4.94,4.81,f,3,3,0
64,1572310,Altitude 261,8359108,Rod,2013-08-24,within a day,100%,100%,t,1,t,BYRON SHIRE COUNCIL,,-28.52087,153.41918,Entire vacation home,Entire home/apt,14,7.5,7.5 baths,7.0,7.0,"$2,013.00",3,1125,3,4,3,1125,3.0,815.3,t,3,27,52,312,70,7,0,4.91,4.97,4.91,4.93,4.96,4.86,4.84,t,1,1,0
66,1678413,Modern Villa in Kingscliff,1758798,John,2012-02-16,within a few hours,100%,90%,t,1,t,TWEED SHIRE COUNCIL,,-28.25785,153.57346,Private room in condo,Private room,4,1.5,1.5 baths,2.0,3.0,$106.00,90,1125,90,90,1125,1125,90.0,1125.0,t,4,34,57,286,253,20,3,4.78,4.84,4.91,4.92,4.96,4.94,4.85,f,1,0,1
67,1684050,Tropical Luxe Getaway in Byron Bay,8904288,Tina,2013-09-17,within an hour,100%,100%,t,1,t,BYRON SHIRE COUNCIL,,-28.65832,153.61177,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,1.0,$261.00,3,5,3,3,1125,1125,3.0,1125.0,t,4,23,53,55,438,22,4,4.96,4.96,4.99,4.99,4.99,4.84,4.79,f,1,1,0
71,1769844,Absolute Riverfront - Villa Riviera,9297870,Paul & Dorothea,2013-10-08,within an hour,100%,100%,t,1,t,BALLINA SHIRE COUNCIL,,-28.8679,153.54826,Entire condo,Entire home/apt,5,2.0,2 baths,2.0,3.0,$325.00,1,182,1,1,1125,1125,1.0,1125.0,t,5,22,37,37,178,22,1,4.89,4.95,4.85,4.97,4.97,4.9,4.84,t,1,1,0
76,1874070,Waterview - Beachside Apartment - 2/54 Lawson St,2103216,Margaret,2012-04-09,within a few hours,100%,65%,t,1,t,BYRON SHIRE COUNCIL,,-28.64356,153.61855,Entire rental unit,Entire home/apt,4,2.5,2.5 baths,2.0,3.0,$593.00,3,365,3,7,365,365,3.2,365.0,t,4,10,27,282,57,11,0,4.8,4.84,4.72,4.75,4.82,4.96,4.67,f,1,1,0
79,1961713,Treehouse Studio @ Wategos Beach,10136518,Christine,2013-11-19,within an hour,100%,96%,t,1,t,BYRON SHIRE COUNCIL,,-28.6372,153.63607,Entire cabin,Entire home/apt,2,1.0,1 bath,1.0,1.0,$323.00,5,60,5,11,60,60,5.1,60.0,t,9,18,20,172,182,17,3,4.96,4.93,4.96,4.94,4.95,4.96,4.76,f,1,1,0
81,2083377,"Spacious, Relaxed & Private - Byron Bay Hinterland",10641732,Victoria,2013-12-15,within a day,90%,83%,t,1,t,BYRON SHIRE COUNCIL,,-28.57358,153.53194,Entire guesthouse,Entire home/apt,15,4.5,4.5 baths,4.0,15.0,$720.00,2,1125,2,2,1125,1125,2.0,1125.0,t,12,35,54,315,108,18,2,4.82,4.85,4.76,4.95,4.91,4.94,4.67,f,1,1,0
86,2131894,Ruskin Villa   Town Center,7112176,Wolfgang,2013-06-25,within an hour,100%,100%,t,2,t,BYRON SHIRE COUNCIL,,-28.65143,153.61746,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,$196.00,2,1125,2,2,1125,1125,2.0,1125.0,t,1,12,20,20,285,23,2,4.79,4.87,4.9,4.91,4.84,4.83,4.7,t,1,1,0
87,2151100,Byron townhouse in Golden Grid close to town/beach,9671709,Robyn,2013-10-28,within a few hours,100%,86%,t,2,t,BYRON SHIRE COUNCIL,,-28.64865,153.61917,Entire townhouse,Entire home/apt,4,2.5,2.5 baths,3.0,4.0,$400.00,5,260,5,5,260,260,5.0,260.0,t,0,4,4,218,209,13,1,4.95,4.98,4.98,4.99,4.98,4.95,4.9,f,1,1,0
88,2171337,See Byron Bay sunrise over the ocean from your bed,11076559,Annie,2014-01-06,within an hour,100%,100%,t,1,t,BYRON SHIRE COUNCIL,,-28.69393,153.6072,Entire cabin,Entire home/apt,2,1.0,1 bath,1.0,1.0,$350.00,2,1125,2,2,1125,1125,2.0,1125.0,t,7,23,53,323,298,28,1,4.94,4.94,4.94,4.98,4.96,4.96,4.79,f,1,1,0
