,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
200,4326462,Scandinavian Simplicity Byron Bay,380361,Clare,2011-02-07,within an hour,100%,96%,t,3,t,BYRON SHIRE COUNCIL,,-28.65846,153.61473,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$177.00,4,7,1,5,1125,1125,4.1,1125.0,t,1,20,35,193,462,52,4,4.94,4.93,4.97,4.98,4.99,4.82,4.87,f,2,2,0
400,10000061,"Peaceful 2Bed Apartment ""Sand Castle""",7191397,Robyn And Steve,2013-06-30,within an hour,100%,100%,t,3,t,BYRON SHIRE COUNCIL,,-28.51682096239893,153.55011094361544,Entire guesthouse,Entire home/apt,5,1.0,1 bath,2.0,3.0,$260.00,1,1125,1,1,1125,1125,1.0,1125.0,t,7,37,67,328,899,90,5,4.85,4.9,4.83,4.94,4.93,4.84,4.78,f,2,2,0
600,16044248,"Sth Golden beach, Private room, great location",3907996,Cathy,2012-10-18,within a few hours,100%,17%,f,2,t,BYRON SHIRE COUNCIL,,-28.49786,153.54342,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,$150.00,1,7,1,1,7,7,1.0,7.0,t,0,0,14,14,56,0,0,4.95,4.96,4.91,4.98,4.98,4.82,4.8,f,2,0,2
800,20335103,Shelley Lodge - On The Beach,106329043,North Coast Lifestyle Properties,2016-12-05,within a day,68%,66%,f,40,t,BYRON SHIRE COUNCIL,,-28.511419,153.551139,Entire home,Entire home/apt,6,2.0,2 baths,3.0,5.0,"$9,999.00",1,90,1,21,90,90,18.7,90.0,t,0,10,27,266,9,1,0,4.78,4.89,4.33,5.0,4.89,5.0,4.33,f,40,40,0
1000,23651951,Butter Factory Warehouse Apartment #9,110526288,Byron Beachside,2017-01-08,within an hour,100%,100%,t,19,t,BYRON SHIRE COUNCIL,,-28.64869,153.61367,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,5.0,"$1,032.00",90,1125,3,3,99,99,3.0,99.0,t,3,10,24,144,9,2,0,4.78,4.67,4.78,4.67,4.56,5.0,4.67,t,17,17,0
1200,28474058,Pacific Edge,90197984,Helen,2016-08-16,within an hour,100%,100%,f,2,t,BYRON SHIRE COUNCIL,,-28.65804,153.62063,Entire home,Entire home/apt,10,3.0,3 baths,5.0,5.0,"$2,250.00",90,1125,90,90,1125,1125,90.0,1125.0,t,30,60,90,180,0,0,0,,,,,,,,t,2,2,0
1400,32167513,Pet friendly and comfortable,27721752,Cranville,2015-02-14,within an hour,100%,92%,t,2,t,TWEED SHIRE COUNCIL,,-28.43879,153.4708,Entire guesthouse,Entire home/apt,2,1.0,1 bath,0.0,1.0,$125.00,1,7,1,1,1125,1125,1.0,1125.0,t,3,33,63,63,132,19,2,4.92,4.96,4.95,4.95,4.93,4.9,4.89,t,2,2,0
1600,37259061,Beach Point - East Ballina,47804701,Lois Buckett Real Estate,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.870288848876953,153.58827209472656,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,4.0,$315.00,3,30,3,7,30,30,3.7,30.0,t,14,37,66,143,11,0,0,4.55,4.64,4.64,4.73,4.91,4.73,4.55,f,50,50,0
1800,40674288,"Relaxing space, walk to beach and restaurants",95397926,Gina,2016-09-16,within an hour,100%,100%,f,1,t,BALLINA SHIRE COUNCIL,,-28.79555,153.58755,Private room in bed and breakfast,Private room,3,1.0,1 private bath,1.0,1.0,$188.00,2,30,2,2,1125,1125,2.0,1125.0,t,15,33,33,33,39,7,0,4.82,4.79,4.82,4.97,4.97,4.92,4.69,f,1,0,1
2000,44394528,Superior King Room - The Pink Hotel Coolangatta,289051853,Elliott,2019-08-26,within an hour,100%,100%,t,8,t,TWEED SHIRE COUNCIL,,-28.16878,153.5445,Room in boutique hotel,Private room,2,1.0,1 bath,1.0,1.0,$248.00,1,1125,1,1,99,99,1.0,99.0,t,14,40,66,289,54,0,0,4.83,4.78,4.89,4.91,4.81,4.98,4.69,t,2,0,2
2200,46514535,Rural Artist's studio 15 Mins to Kirra beach,151718124,Katy,2017-09-22,within an hour,100%,96%,t,1,t,TWEED SHIRE COUNCIL,,-28.19667,153.4647,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,$147.00,2,30,2,2,1125,1125,2.0,1125.0,t,1,29,59,149,61,15,0,4.97,4.93,4.92,5.0,5.0,4.93,4.89,t,1,1,0
2400,48593581,42 Byron (Walk to Beach),174307905,Luxico,2018-02-20,within a few hours,100%,90%,f,58,t,BYRON SHIRE COUNCIL,,-28.647221,153.621719,Entire home,Entire home/apt,10,0.0,0 baths,5.0,5.0,"$1,132.00",1,1125,4,4,999,999,4.0,999.0,t,8,35,65,148,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,f,20,20,0
2600,52156493,Relaxed 4 bed Rustic house 200m  to the ocean,406802029,Elisha,2021-06-12,within an hour,100%,98%,f,1,t,TWEED SHIRE COUNCIL,,-28.32913,153.56578,Entire home,Entire home/apt,6,1.0,1 bath,4.0,4.0,$529.00,1,1125,1,1,1125,1125,1.0,1125.0,t,8,34,63,333,134,33,3,4.74,4.75,4.67,4.93,4.84,4.87,4.52,f,1,1,0
2800,53468880,Cabarita Surf House with Private Studio & Pool,6970340,Jess,2013-06-17,within an hour,100%,100%,t,2,t,TWEED SHIRE COUNCIL,,-28.33687,153.56676,Entire home,Entire home/apt,5,,3 baths,4.0,,,9,30,7,10,1125,1125,9.0,1125.0,t,4,4,4,4,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,2,0
3000,573315047382132494,Luxico Palma House (With Car Parking),174307905,Luxico,2018-02-20,within a few hours,100%,90%,f,58,t,BYRON SHIRE COUNCIL,,-28.63886,153.63352,Entire home,Entire home/apt,10,2.5,2.5 baths,4.0,5.0,"$1,400.00",1,89,3,7,89,89,3.8,89.0,t,5,23,53,323,2,0,0,5.0,5.0,5.0,5.0,4.5,5.0,3.5,f,20,20,0
3200,648038084163812938,Byron Bay Holiday Homes - Whitewater,201425692,Meg,2018-07-10,within a day,100%,100%,t,10,t,BYRON SHIRE COUNCIL,,-28.6646434,153.610143,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,1.0,$275.00,3,365,3,7,365,365,3.4,365.0,t,0,29,59,322,5,0,0,4.8,4.4,4.8,5.0,5.0,4.8,4.4,f,10,10,0
3400,716977814002038199,The Barn Door - a unique accommodation experience,29545816,Garth And Sonya,2015-03-18,within an hour,100%,100%,t,1,t,BYRON SHIRE COUNCIL,,-28.63274,153.49402,Barn,Entire home/apt,4,1.0,1 bath,1.0,2.0,$284.00,2,730,2,4,60,730,2.2,657.4,t,5,26,31,300,88,61,5,4.98,4.98,4.97,5.0,4.99,4.94,4.86,f,1,1,0
3600,755940113775322820,Park Lane - Pet Friendly,341036470,Drift + Stay,2020-03-09,within an hour,97%,99%,t,43,t,RICHMOND VALLEY COUNCIL,,-29.11552,153.42927,Entire home,Entire home/apt,5,1.0,1 bath,2.0,3.0,$446.00,2,1125,2,9,4,1125,3.0,46.9,t,1,26,56,290,18,6,0,4.83,4.89,4.83,4.94,4.67,4.78,4.72,t,42,42,0
3800,787101463578653967,Kahakai House,129690170,Coastal Escapes Casuarina,2017-05-10,within an hour,100%,98%,f,18,t,TWEED SHIRE COUNCIL,,-28.2843548,153.5763061,Entire home,Entire home/apt,10,3.0,3 baths,5.0,7.0,$703.00,5,1125,5,5,3,1125,5.0,38.7,t,10,35,65,340,14,2,0,4.86,4.93,4.93,5.0,5.0,4.93,4.86,f,18,18,0
4000,837011660265888540,Hinterland Farmhouse on 40-Acre Farm,10062706,Yaz And Matt,2013-11-17,within an hour,100%,100%,t,3,t,BALLINA SHIRE COUNCIL,,-28.78304,153.5149,Farm stay,Entire home/apt,6,1.0,1 bath,2.0,3.0,$236.00,2,365,2,3,365,365,2.3,365.0,t,6,18,47,322,65,45,3,4.97,4.91,4.95,4.97,4.97,4.92,4.88,t,3,3,0
