,Unnamed: 0,id,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1,1,59459,285576,2010-11-12,within an hour,100%,93%,t,1,t,CLARENCE VALLEY COUNCIL,,-29.45952,153.20248,Private room in townhouse,Private room,2,1 shared bath,1.0,1.0,$80.00,1,6,1,1,6,6,1.0,6.0,t,11,29,59,59,343,45,3,2011-04-06,2024-12-11,4.92,4.93,4.94,4.94,4.94,4.8,4.92,1,0,1,0,2.06
2,2,111036,569563,2011-05-09,within an hour,100%,96%,t,1,t,TWEED SHIRE COUNCIL,,-28.27593,153.57632,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,$180.00,2,50,1,2,1125,1125,2.0,1125.0,t,4,24,30,220,247,26,2,2012-02-06,2024-12-09,4.89,4.97,4.94,4.84,4.92,4.97,4.88,1,1,0,0,1.58
3,3,113407,576938,2011-05-10,within an hour,100%,95%,t,1,t,BYRON SHIRE COUNCIL,,-28.51435,153.4927,Entire home,Entire home/apt,4,1 bath,2.0,2.0,$433.00,3,1125,1,4,1125,1125,3.0,1125.0,t,11,24,54,140,52,13,2,2011-12-16,2024-11-25,4.92,4.88,4.75,4.96,4.98,4.88,4.71,1,1,0,0,0.33
7,7,399928,1996249,2012-03-23,within an hour,100%,100%,t,1,t,BYRON SHIRE COUNCIL,,-28.65424,153.61888,Entire home,Entire home/apt,6,2 baths,3.0,3.0,$614.00,2,31,2,7,1125,1125,2.3,1125.0,t,13,16,25,88,61,10,0,2012-10-02,2024-11-02,4.8,4.85,4.66,4.98,5.0,4.58,4.58,1,1,0,0,0.41
9,9,428075,2127754,2012-04-12,within an hour,100%,100%,t,2,t,TWEED SHIRE COUNCIL,,-28.2191,153.47793,Entire guesthouse,Entire home/apt,3,1 bath,1.0,2.0,$135.00,2,182,2,7,1125,1125,2.1,1125.0,t,8,34,64,154,57,27,2,2013-01-10,2024-12-07,4.88,4.93,4.75,4.88,4.96,4.89,4.84,2,2,0,0,0.39
10,10,515349,2538287,2012-06-03,,,100%,t,1,t,LISMORE CITY COUNCIL,,-28.78051,153.4307,Tiny home,Entire home/apt,4,1 bath,2.0,3.0,$228.00,1,90,1,1,1125,1125,1.0,1125.0,t,10,40,70,70,281,42,0,2012-10-02,2024-06-10,4.71,4.78,4.52,4.96,4.93,4.86,4.73,1,1,0,0,1.89
24,24,573878,2824063,2012-07-03,within an hour,100%,100%,t,3,t,TWEED SHIRE COUNCIL,,-28.3845708,153.32638,Earthen home,Entire home/apt,2,1 bath,1.0,1.0,$506.00,2,7,2,2,7,7,2.0,7.0,t,20,44,74,347,20,0,0,2016-10-12,2022-11-21,4.9,4.95,4.9,4.9,4.8,5.0,4.6,3,3,0,0,0.2
25,25,587766,2899669,2012-07-11,within an hour,100%,100%,t,3,t,BYRON SHIRE COUNCIL,,-28.65827,153.60944,Private room in guesthouse,Private room,2,1 private bath,2.0,1.0,$129.00,2,1125,2,4,1125,1125,2.0,1125.0,t,4,8,27,274,497,35,5,2012-08-19,2024-12-09,4.85,4.89,4.92,4.97,4.95,4.81,4.85,3,1,2,0,3.31
26,26,588008,2908350,2012-07-11,within a few hours,100%,88%,t,1,t,BYRON SHIRE COUNCIL,,-28.65502,153.62302,Entire guesthouse,Entire home/apt,2,1 bath,1.0,1.0,$191.00,2,1125,2,2,1125,1125,2.0,1125.0,t,2,23,51,315,194,6,0,2013-08-19,2024-04-16,4.85,4.83,4.75,4.96,4.97,4.86,4.64,1,1,0,0,1.41
28,28,610487,3026995,2012-07-23,within a few hours,100%,88%,t,2,t,BYRON SHIRE COUNCIL,,-28.65243,153.55026,Entire home,Entire home/apt,16,10 baths,9.0,12.0,"$2,643.00",3,1125,3,3,1125,1125,3.0,1125.0,t,13,40,70,330,43,4,0,2015-04-07,2024-10-17,4.79,4.9,4.69,4.71,4.64,4.93,4.71,1,1,0,0,0.36
29,29,631809,3142270,2012-08-02,within an hour,100%,100%,t,3,t,BYRON SHIRE COUNCIL,,-28.58522,153.46753,Private room in farm stay,Private room,2,Private half-bath,1.0,1.0,$98.00,1,1125,1,1,1125,1125,1.0,1125.0,t,13,18,34,302,508,60,9,2012-12-04,2024-12-13,4.96,4.96,4.88,4.97,4.98,4.96,4.96,3,2,1,0,3.47
31,31,706949,3633438,2012-09-21,within a few hours,100%,90%,t,1,t,BYRON SHIRE COUNCIL,,-28.63875,153.63574,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,$350.00,3,1125,3,3,1125,1125,3.0,1125.0,t,6,26,49,302,260,19,1,2012-11-19,2024-12-15,4.8,4.78,4.68,4.91,4.93,4.92,4.68,1,1,0,0,1.77
35,35,819991,3142270,2012-08-02,within an hour,100%,100%,t,3,t,BYRON SHIRE COUNCIL,,-28.58522,153.46753,Farm stay,Entire home/apt,4,1 bath,2.0,3.0,$183.00,1,1125,1,1,1125,1125,1.0,1125.0,t,3,16,41,288,891,133,10,2013-04-06,2024-12-10,4.93,4.95,4.85,4.96,4.98,4.94,4.96,3,2,1,0,6.26
37,37,833757,4362487,2012-12-09,within an hour,100%,96%,t,1,t,BYRON SHIRE COUNCIL,,-28.68856,153.522,Entire rental unit,Entire home/apt,3,1 bath,2.0,2.0,$199.00,2,180,2,3,180,180,2.0,180.0,t,4,24,28,28,128,37,3,2017-01-01,2024-12-07,4.98,4.95,5.0,5.0,5.0,4.99,4.95,1,1,0,0,1.32
40,40,859367,2127754,2012-04-12,within an hour,100%,100%,t,2,t,TWEED SHIRE COUNCIL,,-28.21738,153.47945,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,$111.00,1,14,1,1,1125,1125,1.0,1125.0,t,0,0,0,0,208,74,7,2013-01-09,2024-12-06,4.9,4.91,4.86,4.94,4.97,4.85,4.82,2,2,0,0,1.43
41,41,880854,3794750,2012-10-08,within an hour,100%,100%,t,5,t,TWEED SHIRE COUNCIL,,-28.28332,153.57324,Private room in guest suite,Private room,2,1 private bath,1.0,1.0,$113.00,1,60,1,1,1125,1125,1.0,1125.0,t,2,2,2,226,667,65,10,2013-04-23,2024-12-09,4.83,4.88,4.93,4.93,4.87,4.8,4.84,4,3,1,0,4.7
47,47,944331,5111964,2013-02-16,within an hour,100%,95%,t,1,t,BYRON SHIRE COUNCIL,,-28.68456,153.51903,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,$241.00,2,60,2,2,60,60,2.0,60.0,t,7,35,63,269,266,31,3,2014-02-16,2024-11-25,4.88,4.89,4.95,4.98,4.96,4.86,4.83,1,1,0,0,2.02
48,48,999220,3495465,2012-09-06,within an hour,100%,63%,t,3,t,BYRON SHIRE COUNCIL,,-28.65562,153.62489,Entire home,Entire home/apt,6,2 baths,3.0,3.0,$974.00,2,90,2,3,90,90,2.7,90.0,t,19,49,79,79,4,0,0,2015-09-16,2023-07-17,4.5,4.25,4.25,4.75,4.5,4.75,4.25,3,3,0,0,0.04
50,50,1037008,4800366,2013-01-22,within an hour,100%,98%,t,1,t,TWEED SHIRE COUNCIL,,-28.39556,153.40474,Entire home,Entire home/apt,2,1 bath,1.0,2.0,$153.00,2,14,2,2,14,14,2.0,14.0,t,6,17,47,311,194,37,0,2013-05-22,2024-11-09,4.85,4.92,4.72,4.9,4.86,4.89,4.86,1,1,0,0,1.38
51,51,1107994,5021072,2013-02-09,within an hour,100%,89%,t,3,t,BALLINA SHIRE COUNCIL,,-28.79524,153.59038,Entire guesthouse,Entire home/apt,2,1 bath,1.0,1.0,$156.00,2,60,2,2,60,60,2.0,60.0,t,11,41,67,310,169,7,1,2013-12-30,2024-12-11,4.85,4.85,4.86,4.89,4.91,4.92,4.82,3,3,0,0,1.27
52,52,1133269,3495465,2012-09-06,within an hour,100%,63%,t,3,t,BYRON SHIRE COUNCIL,,-28.65488,153.62449,Entire home,Entire home/apt,12,4 baths,6.0,6.0,"$1,316.00",3,90,3,3,90,90,3.0,90.0,t,20,50,66,66,131,3,1,2016-03-31,2024-12-02,4.82,4.74,4.84,4.91,4.9,4.97,4.47,3,3,0,0,1.24
54,54,1227385,6694798,2013-06-02,within a few hours,100%,93%,t,7,t,BYRON SHIRE COUNCIL,,-28.65247,153.62057,Entire home,Entire home/apt,3,1 bath,1.0,2.0,$250.00,90,365,90,90,365,365,90.0,365.0,t,13,43,73,163,16,0,0,2015-01-10,2020-01-16,4.88,4.93,4.75,4.94,5.0,4.63,4.69,7,4,3,0,0.13
55,55,1236948,6694798,2013-06-02,within a few hours,100%,93%,t,7,t,BYRON SHIRE COUNCIL,,-28.65276,153.61826,Entire home,Entire home/apt,8,2.5 baths,3.0,5.0,$500.00,2,112,2,2,112,112,2.0,112.0,t,0,0,0,228,7,0,0,2014-04-23,2019-01-04,4.83,4.57,5.0,4.86,5.0,4.86,4.57,7,4,3,0,0.05
56,56,1240901,6764610,2013-06-06,within an hour,100%,100%,t,1,t,BYRON SHIRE COUNCIL,,-28.61438,153.47697,Entire guesthouse,Entire home/apt,2,1 bath,1.0,1.0,$199.00,2,14,2,5,14,14,2.2,14.0,t,14,35,60,311,344,34,1,2014-01-05,2024-11-23,4.97,4.96,4.98,4.97,4.97,4.94,4.85,1,1,0,0,2.58
58,58,1328605,6694798,2013-06-02,within a few hours,100%,93%,t,7,t,BYRON SHIRE COUNCIL,,-28.65246,153.62046,Private room in home,Private room,2,1 shared bath,1.0,1.0,$100.00,3,730,2,6,730,730,2.4,730.0,t,4,16,36,95,327,24,2,2014-04-03,2024-11-24,4.93,4.95,4.93,4.95,4.97,4.81,4.88,7,4,3,0,2.51
59,59,1328784,6694798,2013-06-02,within a few hours,100%,93%,t,7,t,BYRON SHIRE COUNCIL,,-28.65338,153.61912,Private room in home,Private room,2,1 shared bath,1.0,2.0,$87.00,2,60,2,2,60,60,2.0,60.0,t,3,13,39,305,240,36,2,2014-09-20,2024-12-14,4.93,4.93,4.93,4.96,4.98,4.75,4.87,7,4,3,0,1.93
62,62,1416752,7633683,2013-07-21,within an hour,94%,100%,t,63,t,BYRON SHIRE COUNCIL,,-28.64182,153.61401,Entire rental unit,Entire home/apt,4,2 baths,2.0,3.0,$609.00,3,30,3,5,99,99,3.3,99.0,t,9,25,55,313,26,4,0,2014-08-25,2024-07-22,4.58,4.77,4.69,4.58,4.54,4.92,4.42,61,61,0,0,0.21
63,63,1451202,5021072,2013-02-09,within an hour,100%,89%,t,3,t,BALLINA SHIRE COUNCIL,,-28.79684,153.58909,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,$137.00,2,14,2,2,14,14,2.0,14.0,t,10,35,63,335,196,19,1,2013-12-10,2024-12-14,4.86,4.9,4.89,4.89,4.86,4.94,4.81,3,3,0,0,1.46
64,64,1572310,8359108,2013-08-24,within a day,100%,100%,t,1,t,BYRON SHIRE COUNCIL,,-28.52087,153.41918,Entire vacation home,Entire home/apt,14,7.5 baths,7.0,7.0,"$2,013.00",3,1125,3,4,3,1125,3.0,815.3,t,3,27,52,312,70,7,0,2013-11-13,2024-09-01,4.91,4.97,4.91,4.93,4.96,4.86,4.84,1,1,0,0,0.52
66,66,1678413,1758798,2012-02-16,within a few hours,100%,90%,t,1,t,TWEED SHIRE COUNCIL,,-28.25785,153.57346,Private room in condo,Private room,4,1.5 baths,2.0,3.0,$106.00,90,1125,90,90,1125,1125,90.0,1125.0,t,4,34,57,286,253,20,3,2014-06-25,2024-11-30,4.78,4.84,4.91,4.92,4.96,4.94,4.85,1,0,1,0,1.98
67,67,1684050,8904288,2013-09-17,within an hour,100%,100%,t,1,t,BYRON SHIRE COUNCIL,,-28.65832,153.61177,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,$261.00,3,5,3,3,1125,1125,3.0,1125.0,t,4,23,53,55,438,22,4,2014-01-05,2024-12-06,4.96,4.96,4.99,4.99,4.99,4.84,4.79,1,1,0,0,3.29
71,71,1769844,9297870,2013-10-08,within an hour,100%,100%,t,1,t,BALLINA SHIRE COUNCIL,,-28.8679,153.54826,Entire condo,Entire home/apt,5,2 baths,2.0,3.0,$325.00,1,182,1,1,1125,1125,1.0,1125.0,t,5,22,37,37,178,22,1,2014-02-04,2024-12-05,4.89,4.95,4.85,4.97,4.97,4.9,4.84,1,1,0,0,1.35
76,76,1874070,2103216,2012-04-09,within a few hours,100%,65%,t,1,t,BYRON SHIRE COUNCIL,,-28.64356,153.61855,Entire rental unit,Entire home/apt,4,2.5 baths,2.0,3.0,$593.00,3,365,3,7,365,365,3.2,365.0,t,4,10,27,282,57,11,0,2014-03-08,2024-09-26,4.8,4.84,4.72,4.75,4.82,4.96,4.67,1,1,0,0,0.43
79,79,1961713,10136518,2013-11-19,within an hour,100%,96%,t,1,t,BYRON SHIRE COUNCIL,,-28.6372,153.63607,Entire cabin,Entire home/apt,2,1 bath,1.0,1.0,$323.00,5,60,5,11,60,60,5.1,60.0,t,9,18,20,172,182,17,3,2015-01-27,2024-12-09,4.96,4.93,4.96,4.94,4.95,4.96,4.76,1,1,0,0,1.51
81,81,2083377,10641732,2013-12-15,within a day,90%,83%,t,1,t,BYRON SHIRE COUNCIL,,-28.57358,153.53194,Entire guesthouse,Entire home/apt,15,4.5 baths,4.0,15.0,$720.00,2,1125,2,2,1125,1125,2.0,1125.0,t,12,35,54,315,108,18,2,2014-02-10,2024-11-30,4.82,4.85,4.76,4.95,4.91,4.94,4.67,1,1,0,0,0.82
86,86,2131894,7112176,2013-06-25,within an hour,100%,100%,t,2,t,BYRON SHIRE COUNCIL,,-28.65143,153.61746,Entire rental unit,Entire home/apt,2,1 bath,0.0,1.0,$196.00,2,1125,2,2,1125,1125,2.0,1125.0,t,1,12,20,20,285,23,2,2014-01-08,2024-11-20,4.79,4.87,4.9,4.91,4.84,4.83,4.7,1,1,0,0,2.14
87,87,2151100,9671709,2013-10-28,within a few hours,100%,86%,t,2,t,BYRON SHIRE COUNCIL,,-28.64865,153.61917,Entire townhouse,Entire home/apt,4,2.5 baths,3.0,4.0,$400.00,5,260,5,5,260,260,5.0,260.0,t,0,4,4,218,209,13,1,2014-03-27,2024-11-25,4.95,4.98,4.98,4.99,4.98,4.95,4.9,1,1,0,0,1.6
88,88,2171337,11076559,2014-01-06,within an hour,100%,100%,t,1,t,BYRON SHIRE COUNCIL,,-28.69393,153.6072,Entire cabin,Entire home/apt,2,1 bath,1.0,1.0,$350.00,2,1125,2,2,1125,1125,2.0,1125.0,t,7,23,53,323,298,28,1,2014-01-21,2024-11-24,4.94,4.94,4.94,4.98,4.96,4.96,4.79,1,1,0,0,2.25
90,90,2232981,11397727,2014-01-17,within an hour,100%,92%,t,1,t,BYRON SHIRE COUNCIL,,-28.63738,153.59079,Entire home,Entire home/apt,8,3 baths,4.0,5.0,$550.00,3,21,1,4,21,21,2.8,21.0,t,1,1,16,47,137,20,1,2014-04-23,2024-11-24,4.91,4.88,4.87,4.99,4.99,4.81,4.64,1,1,0,0,1.06
91,91,2238746,11432352,2014-01-19,within an hour,100%,100%,t,2,t,TWEED SHIRE COUNCIL,,-28.38564,153.56696,Entire townhouse,Entire home/apt,6,2 baths,3.0,3.0,$414.00,3,1124,2,5,1125,1125,3.2,1125.0,t,0,9,9,211,183,15,0,2014-04-04,2024-11-13,4.86,4.91,4.75,4.94,4.97,4.93,4.82,1,1,0,0,1.4
92,92,2243683,11460295,2014-01-19,within an hour,100%,100%,t,2,t,BYRON SHIRE COUNCIL,,-28.66413,153.61452,Entire rental unit,Entire home/apt,6,2 baths,3.0,5.0,$468.00,1,1125,1,2,2,1125,1.2,915.4,t,7,29,59,76,177,2,0,2014-05-06,2024-10-21,4.62,4.82,4.56,4.94,4.94,4.67,4.64,2,2,0,0,1.37
95,95,2268395,7633683,2013-07-21,within an hour,94%,100%,t,63,t,BYRON SHIRE COUNCIL,,-28.64344,153.61372,Entire rental unit,Entire home/apt,6,3 baths,2.0,2.0,$712.00,3,30,3,5,99,99,3.3,99.0,t,5,30,60,315,24,2,0,2014-09-28,2024-07-22,4.75,4.92,4.71,4.54,4.71,4.96,4.67,61,61,0,0,0.19
96,96,2275034,11616275,2014-01-25,within an hour,100%,93%,t,1,t,BYRON SHIRE COUNCIL,,-28.67906,153.54605,Entire home,Entire home/apt,10,2 baths,5.0,5.0,"$1,351.00",2,1125,1,2,1125,1125,1.7,1125.0,t,4,32,58,311,64,14,0,2015-11-25,2024-10-06,4.89,4.89,4.94,5.0,5.0,4.95,4.75,1,1,0,0,0.58
97,97,2291460,7633683,2013-07-21,within an hour,94%,100%,t,63,t,BYRON SHIRE COUNCIL,,-28.6451,153.6134,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,$399.00,5,30,4,5,99,99,4.3,99.0,t,20,50,80,343,11,0,0,2016-08-17,2023-04-30,3.82,4.27,3.91,4.64,4.18,4.82,3.73,61,61,0,0,0.11
98,98,2292499,7633683,2013-07-21,within an hour,94%,100%,t,63,t,BYRON SHIRE COUNCIL,,-28.64382,153.6219,Entire rental unit,Entire home/apt,6,2 baths,2.0,4.0,$566.00,3,30,3,5,99,99,3.3,99.0,t,3,21,21,79,24,0,0,2014-08-05,2023-05-07,4.04,4.35,4.17,4.32,4.27,4.91,3.91,61,61,0,0,0.19
101,101,2305134,7633683,2013-07-21,within an hour,94%,100%,t,63,t,BYRON SHIRE COUNCIL,,-28.6432,153.61659,Entire rental unit,Entire home/apt,5,1 bath,2.0,3.0,$516.00,5,30,3,5,99,99,3.3,99.0,t,10,40,70,331,9,0,0,2014-07-15,2020-11-01,4.11,3.89,4.22,4.33,4.33,5.0,3.89,61,61,0,0,0.07
104,104,2326713,7633683,2013-07-21,within an hour,94%,100%,t,63,t,BYRON SHIRE COUNCIL,,-28.64433,153.6097,Entire rental unit,Entire home/apt,7,1 bath,2.0,5.0,$495.00,3,30,3,5,99,99,3.0,99.0,t,19,49,76,341,61,3,0,2015-06-28,2024-10-14,4.21,4.54,4.28,4.59,4.7,4.79,4.43,61,61,0,0,0.53
106,106,2333137,7633683,2013-07-21,within an hour,94%,100%,t,63,t,BYRON SHIRE COUNCIL,,-28.64372,153.62132,Entire rental unit,Entire home/apt,6,2 baths,3.0,3.0,$644.00,3,30,3,5,99,99,3.3,99.0,t,3,8,22,178,60,18,0,2014-07-24,2024-09-09,4.87,4.85,4.83,4.8,4.8,5.0,4.73,61,61,0,0,0.47
