,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
4,259951,Rosebank Farmhouse,1340489,Ann-Marie,2011-10-27,within an hour,100.0,100%,f,1,t,LISMORE CITY COUNCIL,,-28.68751,153.38965,Farm stay,Entire home/apt,8,2.0,2 baths,4.0,7.0,650.0,5,60,5,5,1125,1125,5.0,1125.0,t,14,44,74,339,17,1,0,5.0,4.88,4.76,5.0,5.0,4.94,4.71,f,1,1,0
5,340699,A Perfect Stay - Drift,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.65099,153.61475,Entire home,Entire home/apt,8,2.0,2 baths,3.0,4.0,1284.0,1,1125,1,7,30,1125,3.7,37.4,t,19,32,52,292,53,2,1,4.77,4.62,4.79,4.81,4.75,4.72,4.55,t,98,98,0
7,399928,Byron Bay Beach house,1996249,Frederique,2012-03-23,within an hour,100.0,100%,t,1,t,BYRON SHIRE COUNCIL,,-28.65424,153.61888,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,614.0,2,31,2,7,1125,1125,2.3,1125.0,t,13,16,25,88,61,10,0,4.8,4.85,4.66,4.98,5.0,4.58,4.58,f,1,1,0
11,550619,Spacious A/C apartment - dead centre of town!,2706340,Elaine,2012-06-21,within an hour,100.0,94%,,10,f,BYRON SHIRE COUNCIL,,-28.64369,153.61386,Entire rental unit,Entire home/apt,6,2.5,2.5 baths,2.0,4.0,443.0,3,120,3,7,1125,1125,3.5,1125.0,t,2,15,33,178,389,39,4,4.85,4.89,4.8,4.97,4.93,4.97,4.84,t,9,9,0
12,557918,A Summer Cottage,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.6498,153.61834,Entire home,Entire home/apt,6,2.0,2 baths,3.0,4.0,471.0,1,1125,1,5,30,1125,3.0,37.4,t,6,21,48,306,32,3,0,4.56,4.63,4.47,4.94,4.81,4.69,4.44,t,98,98,0
13,562848,A Top Spot,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.64503,153.62222,Entire home,Entire home/apt,8,2.0,2 baths,4.0,5.0,1704.0,1,1125,1,7,30,1125,3.3,37.4,t,22,38,68,294,24,2,0,4.71,4.72,4.83,4.88,4.83,4.94,4.76,t,98,98,0
14,563012,Abode at Byron,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.6361,153.55579,Entire home,Entire home/apt,6,2.0,2 baths,3.0,4.0,471.0,1,1125,1,7,30,1125,3.4,37.4,t,0,0,0,187,18,0,0,4.67,4.89,4.72,4.89,4.83,4.83,4.67,t,98,98,0
15,563082,A Perfect Stay - Allure,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.63885,153.60714,Entire home,Entire home/apt,10,2.5,2.5 baths,5.0,6.0,1963.0,1,1125,1,7,30,1125,2.8,37.4,t,29,36,46,235,48,6,0,4.94,4.9,4.81,4.85,4.94,4.94,4.63,t,98,98,0
16,563172,Beach House at Tallows,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.6794,153.61573,Entire home,Entire home/apt,8,2.0,2 baths,4.0,6.0,595.0,1,1125,1,7,30,1125,3.6,37.4,t,10,31,61,326,44,6,1,4.75,4.7,4.64,4.95,4.82,4.91,4.61,t,98,98,0
17,563212,Blue Bliss House and Studios,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.63976,153.60278,Entire home,Entire home/apt,13,5.0,5 baths,6.0,8.0,1573.0,1,1125,1,7,30,1125,3.7,37.4,t,20,27,27,27,6,2,0,4.83,4.6,4.4,4.8,4.4,4.8,4.6,t,98,98,0
18,563380,Clarkes Beach Villa,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.64434,153.62124,Entire townhouse,Entire home/apt,6,2.0,2 baths,3.0,5.0,1078.0,1,1125,1,7,30,1125,3.8,37.4,t,29,59,89,358,26,0,0,4.69,4.65,4.69,4.92,4.77,4.96,4.27,t,98,98,0
19,563454,Harkaway,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.64965,153.61453,Entire home,Entire home/apt,8,2.0,2 baths,3.0,4.0,731.0,1,1125,1,7,30,1125,3.5,37.4,t,16,35,57,272,50,2,0,4.52,4.74,4.48,4.72,4.66,4.78,4.58,t,98,98,0
20,563517,11 James Cook Apartments,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.64359,153.62565,Entire rental unit,Entire home/apt,7,2.0,2 baths,3.0,4.0,530.0,1,1125,1,5,30,1125,5.0,37.4,t,4,8,34,217,26,1,0,5.0,4.92,4.96,5.0,4.88,4.96,4.46,t,98,98,0
21,563650,A Perfect Stay - Mi Casa,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.64678,153.60965,Entire home,Entire home/apt,7,1.5,1.5 baths,3.0,4.0,353.0,1,1125,1,7,30,1125,2.9,37.4,t,20,41,69,310,65,5,0,4.65,4.68,4.6,4.8,4.75,4.91,4.55,t,98,98,0
23,564677,Apartment 3 Surfside,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.63907,153.60332,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,4.0,706.0,1,1125,1,7,30,1125,3.6,37.4,t,7,29,52,307,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,98,98,0
28,610487,Samkara Byron stunning ocean and hinterland views,3026995,Justin,2012-07-23,within a few hours,100.0,88%,t,2,t,BYRON SHIRE COUNCIL,,-28.65243,153.55026,Entire home,Entire home/apt,16,10.0,10 baths,9.0,12.0,2643.0,3,1125,3,3,1125,1125,3.0,1125.0,t,13,40,70,330,43,4,0,4.79,4.9,4.69,4.71,4.64,4.93,4.71,f,1,1,0
33,723936,Serendip at Mullumbimby Creek,3741923,Julie,2012-10-03,,,0%,f,1,t,BYRON SHIRE COUNCIL,,-28.55708,153.46729,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,500.0,6,28,6,6,28,28,6.0,28.0,t,0,0,1,237,27,2,0,4.85,4.89,4.93,4.96,4.93,4.89,4.7,f,1,1,0
34,805381,Longhouse,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.6353,153.5972,Entire home,Entire home/apt,11,3.0,3 baths,4.0,8.0,648.0,1,1125,1,5,30,1125,5.0,37.4,t,6,33,49,299,38,1,0,4.76,4.84,4.84,5.0,4.84,4.87,4.76,t,98,98,0
36,820367,The Shalimar Roundhouse,4308959,Adam,2012-12-03,within a day,80.0,91%,f,2,t,BYRON SHIRE COUNCIL,,-28.56833,153.42033,Farm stay,Entire home/apt,6,1.0,1 bath,1.0,3.0,249.0,2,28,2,2,28,28,2.0,28.0,t,15,45,75,75,179,31,2,4.78,4.79,4.56,4.93,4.95,4.88,4.67,f,2,2,0
42,894979,Kia Ora Byron,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.64962,153.61975,Entire home,Entire home/apt,8,2.0,2 baths,3.0,4.0,648.0,1,1125,1,7,30,1125,3.6,37.4,t,0,0,0,0,21,1,1,4.57,5.0,4.9,4.8,4.9,4.8,4.6,t,98,98,0
43,907102,"Banksias at the Beach, Byron Bay",4857357,Peter,2013-01-26,a few days or more,0.0,,f,1,t,BYRON SHIRE COUNCIL,,-28.67969,153.61761,Entire home,Entire home/apt,6,3.0,3 baths,4.0,4.0,424.0,90,180,90,90,180,180,90.0,180.0,t,29,59,89,179,173,0,0,4.67,4.62,4.58,4.88,4.84,4.95,4.55,f,1,1,0
45,918903,ByronView Central Elevated Home 4 Brms,6850653,Nerida,2013-06-11,within a day,100.0,67%,f,1,t,BYRON SHIRE COUNCIL,,-28.6537,153.61669,Entire home,Entire home/apt,8,3.0,3 baths,4.0,10.0,729.0,3,30,3,3,30,30,3.0,30.0,t,2,7,7,214,63,3,0,4.9,4.9,4.89,4.98,4.98,4.68,4.73,f,1,1,0
48,999220,BiRDHOUSE Byron Bay,3495465,Ben & Joc,2012-09-06,within an hour,100.0,63%,t,3,t,BYRON SHIRE COUNCIL,,-28.65562,153.62489,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,974.0,2,90,2,3,90,90,2.7,90.0,t,19,49,79,79,4,0,0,4.5,4.25,4.25,4.75,4.5,4.75,4.25,f,3,3,0
52,1133269,Birdland Beachfront Byron Bay,3495465,Ben & Joc,2012-09-06,within an hour,100.0,63%,t,3,t,BYRON SHIRE COUNCIL,,-28.65488,153.62449,Entire home,Entire home/apt,12,4.0,4 baths,6.0,6.0,1316.0,3,90,3,3,90,90,3.0,90.0,t,20,50,66,66,131,3,1,4.82,4.74,4.84,4.91,4.9,4.97,4.47,f,3,3,0
55,1236948,Byron Bay Tree House Lower Level,6694798,Jeanine,2013-06-02,within a few hours,100.0,93%,t,7,t,BYRON SHIRE COUNCIL,,-28.65276,153.61826,Entire home,Entire home/apt,8,2.5,2.5 baths,3.0,5.0,500.0,2,112,2,2,112,112,2.0,112.0,t,0,0,0,228,7,0,0,4.83,4.57,5.0,4.86,5.0,4.86,4.57,f,7,4,3
57,1256450,Byron Bay Vista Lodge,6844154,Steve,2013-06-10,within an hour,100.0,100%,f,1,t,BYRON SHIRE COUNCIL,,-28.6519775390625,153.5651397705078,Entire home,Entire home/apt,5,2.0,2 baths,2.0,3.0,363.0,3,1125,3,7,1125,1125,3.5,1125.0,t,8,32,46,308,221,21,3,4.85,4.84,4.7,4.98,4.98,4.94,4.82,t,1,1,0
60,1361341,Belle Escapes Byron Bay -Beach Front Beach Break 1,6948467,Erin,2013-06-16,within an hour,100.0,75%,f,21,t,BYRON SHIRE COUNCIL,,-28.64383,153.6186,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,3.0,542.0,2,1125,2,6,2,1125,2.6,83.6,t,5,12,39,283,85,16,1,4.27,4.2,3.99,4.73,4.73,4.96,4.26,t,16,16,0
61,1388195,Belle Escapes Byron Bay- Beach Front Beach Break 2,6948467,Erin,2013-06-16,within an hour,100.0,75%,f,21,t,BYRON SHIRE COUNCIL,,-28.64216,153.61835,Entire home,Entire home/apt,6,2.0,2 baths,3.0,4.0,553.0,2,1125,2,6,2,1125,2.6,33.7,t,1,14,42,298,102,10,0,4.51,4.47,4.37,4.74,4.84,4.98,4.24,t,16,16,0
64,1572310,Altitude 261,8359108,Rod,2013-08-24,within a day,100.0,100%,t,1,t,BYRON SHIRE COUNCIL,,-28.52087,153.41918,Entire vacation home,Entire home/apt,14,7.5,7.5 baths,7.0,7.0,2013.0,3,1125,3,4,3,1125,3.0,815.3,t,3,27,52,312,70,7,0,4.91,4.97,4.91,4.93,4.96,4.86,4.84,t,1,1,0
69,1733550,Barefoot@Belongil,9132936,Steve,2013-09-30,,,,f,1,t,BYRON SHIRE COUNCIL,,-28.63426,153.59859,Entire home,Entire home/apt,8,2.0,2 baths,4.0,0.0,800.0,5,1124,5,6,1124,1124,5.1,1124.0,t,13,31,31,61,81,0,0,4.75,4.78,4.62,4.91,4.77,4.89,4.68,f,1,1,0
70,1743311,DOLPHINS.,9177635,Nick,2013-10-02,a few days or more,0.0,,f,1,t,BYRON SHIRE COUNCIL,,-28.6575,153.62142,Entire home,Entire home/apt,8,2.0,2 baths,4.0,4.0,700.0,90,120,90,90,120,120,90.0,120.0,t,0,0,0,221,3,0,0,4.67,4.33,5.0,5.0,5.0,5.0,4.67,f,1,1,0
71,1769844,Absolute Riverfront - Villa Riviera,9297870,Paul & Dorothea,2013-10-08,within an hour,100.0,100%,t,1,t,BALLINA SHIRE COUNCIL,,-28.8679,153.54826,Entire condo,Entire home/apt,5,2.0,2 baths,2.0,3.0,325.0,1,182,1,1,1125,1125,1.0,1125.0,t,5,22,37,37,178,22,1,4.89,4.95,4.85,4.97,4.97,4.9,4.84,t,1,1,0
72,1779390,Belle Escapes Byron Bay - Marvel Penthouse,6948467,Erin,2013-06-16,within an hour,100.0,75%,f,21,t,BYRON SHIRE COUNCIL,,-28.64522,153.61447,Entire rental unit,Entire home/apt,8,2.0,2 baths,4.0,4.0,1164.0,2,1125,2,6,2,1125,2.6,33.7,t,5,21,45,301,105,11,1,4.9,4.88,4.85,4.89,4.89,4.92,4.68,t,16,16,0
74,1790057,Private Beachside Sanctuary,3543283,Joy & Va,2012-09-11,within an hour,100.0,67%,f,1,t,BYRON SHIRE COUNCIL,,-28.68901,153.60837,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,600.0,4,14,4,4,14,14,4.0,14.0,t,1,1,1,198,10,0,0,4.5,4.5,4.6,4.8,4.9,4.8,4.3,f,1,1,0
75,1807901,The Summer House and Studio,2181010,Roz,2012-04-20,,,,f,2,t,BYRON SHIRE COUNCIL,,-28.68658,153.51738,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,650.0,90,1125,90,90,1125,1125,90.0,1125.0,t,29,59,89,89,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,2,0
