,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
0,46609,Byron Beach Cabin,208641,Glen,2010-08-21,within an hour,100.0,83%,f,1,t,BYRON SHIRE COUNCIL,,-28.689501,153.61116,Entire cabin,Entire home/apt,2,1.0,1 bath,1.0,1.0,$198.00,3,59,3,7,1125,1125,3.3,1125.0,t,28,50,80,345,53,1,0,4.98,4.92,4.96,5.0,5.0,4.92,4.77,f,1,1,0
4,259951,Rosebank Farmhouse,1340489,Ann-Marie,2011-10-27,within an hour,100.0,100%,f,1,t,LISMORE CITY COUNCIL,,-28.68751,153.38965,Farm stay,Entire home/apt,8,2.0,2 baths,4.0,7.0,$650.00,5,60,5,5,1125,1125,5.0,1125.0,t,14,44,74,339,17,1,0,5.0,4.88,4.76,5.0,5.0,4.94,4.71,f,1,1,0
27,596843,Tranquil Studio 5kms from Byron Bay,2921954,Natasha,2012-07-13,within an hour,100.0,67%,f,1,t,BYRON SHIRE COUNCIL,,-28.6449,153.558,Private room in guesthouse,Private room,2,1.0,1 private bath,1.0,1.0,$110.00,3,30,3,3,30,30,3.0,30.0,t,4,12,34,34,71,7,1,4.81,4.89,4.73,4.93,4.92,4.85,4.8,f,1,0,1
30,648394,Byron 4 Star Room! Walk to Beach,791858,Philip,2011-07-07,within a few hours,100.0,63%,f,2,t,BYRON SHIRE COUNCIL,,-28.6807,153.60808,Private room in home,Private room,2,1.0,1 shared bath,1.0,0.0,$240.00,2,91,2,3,91,91,2.1,91.0,t,30,60,90,90,23,1,0,4.67,4.65,4.57,4.78,4.91,4.65,4.43,f,2,0,2
32,706964,Room w/own entrance kitchenette & bthrm,998147,Emma,2011-08-20,within an hour,100.0,90%,f,1,t,BYRON SHIRE COUNCIL,,-28.65905,153.60938,Private room in home,Private room,2,1.5,1.5 baths,1.0,1.0,$113.00,2,14,1,2,14,14,2.0,14.0,t,1,15,33,194,638,51,5,4.69,4.73,4.82,4.88,4.89,4.66,4.68,f,1,0,1
38,855531,"Tranquil, Comfy Room with Ensuite",1742857,Deborah,2012-02-12,within an hour,100.0,53%,f,1,t,BYRON SHIRE COUNCIL,,-28.65853,153.61328,Private room in home,Private room,1,1.0,1 private bath,1.0,1.0,$210.00,1,8,1,1,8,8,1.0,8.0,t,15,45,75,347,178,3,0,4.48,4.66,4.64,4.53,4.65,4.61,4.55,f,1,0,1
39,857366,Breeze Byron Bay Holiday Accommodation,4484372,Raeleen,2012-12-25,within a day,100.0,79%,f,5,t,BYRON SHIRE COUNCIL,,-28.66379,153.6114,Private room in home,Private room,2,2.0,2 shared baths,1.0,1.0,$59.00,3,1125,3,3,1125,1125,3.0,1125.0,t,11,11,11,11,202,6,0,4.58,4.64,4.5,4.76,4.75,4.45,4.53,f,5,1,4
44,908660,River House aka The Federal Hilton,4870428,Louise,2013-01-27,within an hour,100.0,100%,f,1,t,BYRON SHIRE COUNCIL,,-28.6357,153.46818,Entire cottage,Entire home/apt,4,1.0,1 bath,2.0,2.0,$375.00,2,60,2,2,1125,1125,2.0,1125.0,t,24,54,84,354,67,3,0,4.88,4.85,4.62,4.92,4.95,4.98,4.8,f,1,1,0
45,918903,ByronView Central Elevated Home 4 Brms,6850653,Nerida,2013-06-11,within a day,100.0,67%,f,1,t,BYRON SHIRE COUNCIL,,-28.6537,153.61669,Entire home,Entire home/apt,8,3.0,3 baths,4.0,10.0,$729.00,3,30,3,3,30,30,3.0,30.0,t,2,7,7,214,63,3,0,4.9,4.9,4.89,4.98,4.98,4.68,4.73,f,1,1,0
46,936254,The Tin Shed - Byron hinterland,5053150,Russell And Sally,2013-02-11,within a few hours,100.0,29%,f,1,t,BYRON SHIRE COUNCIL,,-28.73924,153.46874,Entire cabin,Entire home/apt,2,1.0,1 bath,1.0,1.0,$172.00,3,30,3,3,30,30,3.0,30.0,t,0,12,42,310,60,1,0,4.92,4.95,4.88,5.0,5.0,4.97,4.95,f,1,1,0
57,1256450,Byron Bay Vista Lodge,6844154,Steve,2013-06-10,within an hour,100.0,100%,f,1,t,BYRON SHIRE COUNCIL,,-28.6519775390625,153.5651397705078,Entire home,Entire home/apt,5,2.0,2 baths,2.0,3.0,$363.00,3,1125,3,7,1125,1125,3.5,1125.0,t,8,32,46,308,221,21,3,4.85,4.84,4.7,4.98,4.98,4.94,4.82,t,1,1,0
60,1361341,Belle Escapes Byron Bay -Beach Front Beach Break 1,6948467,Erin,2013-06-16,within an hour,100.0,75%,f,21,t,BYRON SHIRE COUNCIL,,-28.64383,153.6186,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,3.0,$542.00,2,1125,2,6,2,1125,2.6,83.6,t,5,12,39,283,85,16,1,4.27,4.2,3.99,4.73,4.73,4.96,4.26,t,16,16,0
61,1388195,Belle Escapes Byron Bay- Beach Front Beach Break 2,6948467,Erin,2013-06-16,within an hour,100.0,75%,f,21,t,BYRON SHIRE COUNCIL,,-28.64216,153.61835,Entire home,Entire home/apt,6,2.0,2 baths,3.0,4.0,$553.00,2,1125,2,6,2,1125,2.6,33.7,t,1,14,42,298,102,10,0,4.51,4.47,4.37,4.74,4.84,4.98,4.24,t,16,16,0
65,1610178,Bougainvillea Guest Suite,4155242,Dave And Ruth,2012-11-15,within an hour,100.0,83%,f,1,t,BYRON SHIRE COUNCIL,,-28.65551,153.61946,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,1.0,$220.00,2,7,2,5,7,7,2.1,7.0,t,5,14,14,14,142,4,0,4.98,4.99,5.0,4.99,5.0,4.82,4.94,f,1,1,0
72,1779390,Belle Escapes Byron Bay - Marvel Penthouse,6948467,Erin,2013-06-16,within an hour,100.0,75%,f,21,t,BYRON SHIRE COUNCIL,,-28.64522,153.61447,Entire rental unit,Entire home/apt,8,2.0,2 baths,4.0,4.0,"$1,164.00",2,1125,2,6,2,1125,2.6,33.7,t,5,21,45,301,105,11,1,4.9,4.88,4.85,4.89,4.89,4.92,4.68,t,16,16,0
