,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
1,59459,Tea on the Terrace,285576,Liz,2010-11-12,within an hour,100.0,93%,t,1,t,CLARENCE VALLEY COUNCIL,,-29.45952,153.20248,Private room in townhouse,Private room,2,1.0,1 shared bath,1.0,1.0,80.0,1,6,1,1,6,6,1.0,6.0,t,11,29,59,59,343,45,3,4.92,4.93,4.94,4.94,4.94,4.8,4.92,f,1,0,1
8,410733,Byron Bay Breathing Space - Beachside,2034145,Al,2012-03-29,,,100%,f,1,t,BYRON SHIRE COUNCIL,,-28.49026107788086,153.54681396484375,Private room in home,Private room,2,1.0,1 private bath,1.0,2.0,320.0,90,100,90,90,1125,1125,90.0,1125.0,t,29,59,89,179,89,1,0,4.82,4.8,4.91,4.97,4.92,4.9,4.53,t,1,0,1
25,587766,Lilli Pilli Guest Room with ensuite,2899669,Jodie,2012-07-11,within an hour,100.0,100%,t,3,t,BYRON SHIRE COUNCIL,,-28.65827,153.60944,Private room in guesthouse,Private room,2,1.0,1 private bath,2.0,1.0,129.0,2,1125,2,4,1125,1125,2.0,1125.0,t,4,8,27,274,497,35,5,4.85,4.89,4.92,4.97,4.95,4.81,4.85,t,3,1,2
27,596843,Tranquil Studio 5kms from Byron Bay,2921954,Natasha,2012-07-13,within an hour,100.0,67%,f,1,t,BYRON SHIRE COUNCIL,,-28.6449,153.558,Private room in guesthouse,Private room,2,1.0,1 private bath,1.0,1.0,110.0,3,30,3,3,30,30,3.0,30.0,t,4,12,34,34,71,7,1,4.81,4.89,4.73,4.93,4.92,4.85,4.8,f,1,0,1
29,631809,Nature Lover's Vegan Paradise,3142270,Garry,2012-08-02,within an hour,100.0,100%,t,3,t,BYRON SHIRE COUNCIL,,-28.58522,153.46753,Private room in farm stay,Private room,2,0.5,Private half-bath,1.0,1.0,98.0,1,1125,1,1,1125,1125,1.0,1125.0,t,13,18,34,302,508,60,9,4.96,4.96,4.88,4.97,4.98,4.96,4.96,t,3,2,1
30,648394,Byron 4 Star Room! Walk to Beach,791858,Philip,2011-07-07,within a few hours,100.0,63%,f,2,t,BYRON SHIRE COUNCIL,,-28.6807,153.60808,Private room in home,Private room,2,1.0,1 shared bath,1.0,0.0,240.0,2,91,2,3,91,91,2.1,91.0,t,30,60,90,90,23,1,0,4.67,4.65,4.57,4.78,4.91,4.65,4.43,f,2,0,2
32,706964,Room w/own entrance kitchenette & bthrm,998147,Emma,2011-08-20,within an hour,100.0,90%,f,1,t,BYRON SHIRE COUNCIL,,-28.65905,153.60938,Private room in home,Private room,2,1.5,1.5 baths,1.0,1.0,113.0,2,14,1,2,14,14,2.0,14.0,t,1,15,33,194,638,51,5,4.69,4.73,4.82,4.88,4.89,4.66,4.68,f,1,0,1
38,855531,"Tranquil, Comfy Room with Ensuite",1742857,Deborah,2012-02-12,within an hour,100.0,53%,f,1,t,BYRON SHIRE COUNCIL,,-28.65853,153.61328,Private room in home,Private room,1,1.0,1 private bath,1.0,1.0,210.0,1,8,1,1,8,8,1.0,8.0,t,15,45,75,347,178,3,0,4.48,4.66,4.64,4.53,4.65,4.61,4.55,f,1,0,1
39,857366,Breeze Byron Bay Holiday Accommodation,4484372,Raeleen,2012-12-25,within a day,100.0,79%,f,5,t,BYRON SHIRE COUNCIL,,-28.66379,153.6114,Private room in home,Private room,2,2.0,2 shared baths,1.0,1.0,59.0,3,1125,3,3,1125,1125,3.0,1125.0,t,11,11,11,11,202,6,0,4.58,4.64,4.5,4.76,4.75,4.45,4.53,f,5,1,4
41,880854,Seaside City Beach House,3794750,Anna,2012-10-08,within an hour,100.0,100%,t,5,t,TWEED SHIRE COUNCIL,,-28.28332,153.57324,Private room in guest suite,Private room,2,1.0,1 private bath,1.0,1.0,113.0,1,60,1,1,1125,1125,1.0,1125.0,t,2,2,2,226,667,65,10,4.83,4.88,4.93,4.93,4.87,4.8,4.84,t,4,3,1
49,1014619,Balyarta Om Sunny Palm Room Byron Bay.,5581752,Balyarta,2013-03-23,a few days or more,0.0,,f,6,t,BYRON SHIRE COUNCIL,,-28.68361,153.60814,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,94.0,90,90,90,90,90,90,90.0,90.0,t,30,60,90,365,165,0,0,4.87,4.87,4.91,4.87,4.84,4.79,4.81,f,3,1,2
