,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
2,111036,5 Star Luxury @ Tweed Coast - Salt Village,569563,Tricia,2011-05-09,within an hour,100.0,96%,t,1,t,TWEED SHIRE COUNCIL,,-28.27593,153.57632,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,180.0,2,50,1,2,1125,1125,2.0,1125.0,t,4,24,30,220,247,26,2,4.89,4.97,4.94,4.84,4.92,4.97,4.88,t,1,1,0
5,340699,A Perfect Stay - Drift,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.65099,153.61475,Entire home,Entire home/apt,8,2.0,2 baths,3.0,4.0,1284.0,1,1125,1,7,30,1125,3.7,37.4,t,19,32,52,292,53,2,1,4.77,4.62,4.79,4.81,4.75,4.72,4.55,t,98,98,0
8,410733,Byron Bay Breathing Space - Beachside,2034145,Al,2012-03-29,,,100%,f,1,t,BYRON SHIRE COUNCIL,,-28.49026107788086,153.54681396484375,Private room in home,Private room,2,1.0,1 private bath,1.0,2.0,320.0,90,100,90,90,1125,1125,90.0,1125.0,t,29,59,89,179,89,1,0,4.82,4.8,4.91,4.97,4.92,4.9,4.53,t,1,0,1
10,515349,A Classic Country Cabin,2538287,Justine,2012-06-03,,,100%,t,1,t,LISMORE CITY COUNCIL,,-28.78051,153.4307,Tiny home,Entire home/apt,4,1.0,1 bath,2.0,3.0,228.0,1,90,1,1,1125,1125,1.0,1125.0,t,10,40,70,70,281,42,0,4.71,4.78,4.52,4.96,4.93,4.86,4.73,t,1,1,0
12,557918,A Summer Cottage,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.6498,153.61834,Entire home,Entire home/apt,6,2.0,2 baths,3.0,4.0,471.0,1,1125,1,5,30,1125,3.0,37.4,t,6,21,48,306,32,3,0,4.56,4.63,4.47,4.94,4.81,4.69,4.44,t,98,98,0
13,562848,A Top Spot,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.64503,153.62222,Entire home,Entire home/apt,8,2.0,2 baths,4.0,5.0,1704.0,1,1125,1,7,30,1125,3.3,37.4,t,22,38,68,294,24,2,0,4.71,4.72,4.83,4.88,4.83,4.94,4.76,t,98,98,0
14,563012,Abode at Byron,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.6361,153.55579,Entire home,Entire home/apt,6,2.0,2 baths,3.0,4.0,471.0,1,1125,1,7,30,1125,3.4,37.4,t,0,0,0,187,18,0,0,4.67,4.89,4.72,4.89,4.83,4.83,4.67,t,98,98,0
15,563082,A Perfect Stay - Allure,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.63885,153.60714,Entire home,Entire home/apt,10,2.5,2.5 baths,5.0,6.0,1963.0,1,1125,1,7,30,1125,2.8,37.4,t,29,36,46,235,48,6,0,4.94,4.9,4.81,4.85,4.94,4.94,4.63,t,98,98,0
16,563172,Beach House at Tallows,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.6794,153.61573,Entire home,Entire home/apt,8,2.0,2 baths,4.0,6.0,595.0,1,1125,1,7,30,1125,3.6,37.4,t,10,31,61,326,44,6,1,4.75,4.7,4.64,4.95,4.82,4.91,4.61,t,98,98,0
17,563212,Blue Bliss House and Studios,1649158,A Perfect Stay,2012-01-24,within a few hours,92.0,100%,f,100,t,BYRON SHIRE COUNCIL,,-28.63976,153.60278,Entire home,Entire home/apt,13,5.0,5 baths,6.0,8.0,1573.0,1,1125,1,7,30,1125,3.7,37.4,t,20,27,27,27,6,2,0,4.83,4.6,4.4,4.8,4.4,4.8,4.6,t,98,98,0
